Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_230.txt,MergeSort,238,8683,8683
random,1000,data_231.txt,InsertionSort,742,243053,242057
random,1000,data_231.txt,QuickSort,95,13566,8172
random,1000,data_231.txt,MergeSort,240,8740,8740
random,1000,data_232.txt,InsertionSort,761,247969,246976
random,1000,data_232.txt,QuickSort,89,10814,6075
random,1000,data_232.txt,MergeSort,245,8720,8720
random,1000,data_233.txt,InsertionSort,789,252397,251404
random,1000,data_233.txt,QuickSort,93,11332,5813
random,1000,data_233.txt,MergeSort,259,8670,8670
random,1000,data_234.txt,InsertionSort,799,249014,248019
random,1000,data_234.txt,QuickSort,148,11345,6200
random,1000,data_234.txt,MergeSort,250,8705,8705
random,1000,data_235.txt,InsertionSort,786,251659,250666
random,1000,data_235.txt,QuickSort,105,10801,5339
random,1000,data_235.txt,MergeSort,250,8696,8696
random,1000,data_236.txt,InsertionSort,805,256753,255763
random,1000,data_236.txt,QuickSort,99,11545,6390
random,1000,data_236.txt,MergeSort,247,8708,8708
random,1000,data_237.txt,InsertionSort,792,248206,247210
random,1000,data_237.txt,QuickSort,91,10844,6624
random,1000,data_237.txt,MergeSort,254,8722,8722
random,1000,data_238.txt,InsertionSort,746,244234,243243
random,1000,data_238.txt,QuickSort,90,10653,6475
random,1000,data_238.txt,MergeSort,243,8720,8720
random,1000,data_239.txt,InsertionSort,788,254353,253359
random,1000,data_239.txt,QuickSort,84,10462,4934
random,1000,data_239.txt,MergeSort,244,8745,8745
random,1000,data_24.txt,InsertionSort,784,253208,252216
random,1000,data_24.txt,QuickSort,91,10896,6554
random,1000,data_24.txt,MergeSort,250,8705,8705
random,1000,data_240.txt,InsertionSort,794,250477,249482
random,1000,data_240.txt,QuickSort,97,10593,6563
random,1000,data_240.txt,MergeSort,259,8691,8691
random,1000,data_241.txt,InsertionSort,791,244372,243378
random,1000,data_241.txt,QuickSort,92,10881,5483
random,1000,data_241.txt,MergeSort,264,8687,8687
random,1000,data_242.txt,InsertionSort,742,242841,241853
random,1000,data_242.txt,QuickSort,92,12285,5571
random,1000,data_242.txt,MergeSort,249,8687,8687
random,1000,data_243.txt,InsertionSort,820,252861,251865
random,1000,data_243.txt,QuickSort,87,10379,5719
random,1000,data_243.txt,MergeSort,249,8735,8735
random,1000,data_244.txt,InsertionSort,747,247147,246157
random,1000,data_244.txt,QuickSort,94,12310,7415
random,1000,data_244.txt,MergeSort,264,8729,8729
random,1000,data_245.txt,InsertionSort,856,240328,239338
random,1000,data_245.txt,QuickSort,87,12463,4970
random,1000,data_245.txt,MergeSort,241,8707,8707
random,1000,data_246.txt,InsertionSort,781,249897,248902
random,1000,data_246.txt,QuickSort,91,10254,5711
random,1000,data_246.txt,MergeSort,250,8709,8709
random,1000,data_247.txt,InsertionSort,793,249696,248705
random,1000,data_247.txt,QuickSort,112,10754,5493
random,1000,data_247.txt,MergeSort,249,8738,8738
random,1000,data_248.txt,InsertionSort,824,254221,253224
random,1000,data_248.txt,QuickSort,96,11159,6471
random,1000,data_248.txt,MergeSort,255,8704,8704
random,1000,data_249.txt,InsertionSort,813,249836,248846
random,1000,data_249.txt,QuickSort,97,10438,6052
random,1000,data_249.txt,MergeSort,246,8702,8702
random,1000,data_25.txt,InsertionSort,840,256264,255267
random,1000,data_25.txt,QuickSort,98,11328,6262
random,1000,data_25.txt,MergeSort,257,8702,8702
random,1000,data_250.txt,InsertionSort,775,253969,252974
